mark,alle,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254,g255,g256,g257,g258,g259,g260,g261,g262,g263,g264,g265,g266,g267,g268,g269,g270,g271,g272,g273,g274,g275
7,7,0,0,0,0,0.3625,0,0,0,0,0.148,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0.078,0,0.408,0.0895,0.5,0,0.0735,0,0,0,0,0,0,0,0.119,0,,0,0.0685,0.1435,,,0,0,0,0.6445,0.5105,0.3005,0,0.385,0.204,0,,0,0,0.1395,0,0,0,0.1725,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0.0415,0.0555,0,0,0,0,0,0,0.109,0,0,0.063,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0.329,0,0,0.141,0,0,0,0,0,0,0,0,0.2165,0.076,0,0.4115,0,0,0,0.249,0,,,0.356,0,0,0,0
7,8,0,0,0.1675,0,0,0,0,0,0,0,0.78,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.179,0,0,,0,0.034,0,0,0,0,0,0.478,0.083,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2945,0,0,0,0,0,0,0,0,0,0,0.1625,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.1175,0,,0,0,0.106,0.221,0,0.188,0.1355,0,0.2825,0,0.322,0.167,0,0.1505,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1035,0.052,0,0,0,0,0,0,0,0,0,0.1,0.1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0.121,0,0.1165,0,0,0,0,0,0,0,,,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.1315,0.259,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525,0,0,0,0,0,0,0,0,0,0,0.144,0.2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3535,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.2265,0,0.0685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,0,0,0,0,0,0,0,0,0,0.0215,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0.1595,0,0,0,0,0,0,0.0225,0,0
8,2,0.7865,0,0.9825,0.087,0,0.686,0.9605,0.8205,1,0.5375,1,0.659,0.802,0.7755,0.578,1,0.163,0.9645,0.918,0.978,0,0.8575,0.866,0.9475,0.0835,0.1075,0.805,0.293,0.2355,0.6995,0.3225,0.799,0.4875,0.6195,0.6695,0.602,0.418,0.362,0.37,0.4095,0.319,0.2385,0.6895,0.556,0.404,0.5065,0.535,0.053,0.429,0.5645,0.523,0.506,0.3485,0.336,0.2875,0.4115,0.5705,0.5045,0.2135,0.1605,0.5425,0.366,0.6975,0.745,0.919,0.024,0.681,0.2795,0.651,0.1745,0.812,0.7795,0.4665,0.623,0.8655,0.4065,0.9265,0.5605,0.601,0.7325,0.5525,0.46,0.5385,0.606,0.605,0.3615,0.499,0.356,0.2565,0.373,0.6935,0.6565,0.8865,0.6415,0.389,0.5445,0.349,0.507,0.0565,0.302,0,0.377,0.3095,0.024,0,0.2935,0.4285,0.1725,0.642,0,0.663,0.3935,0.3705,0.4035,0.7115,0.556,0.718,0.318,0.3625,0.6925,0.67,0.1875,0.674,0.401,0.34,0.268,0.2285,0.794,0.521,0.359,0.2965,0.519,0.8055,0.9165,0.689,0.8145,0.7745,0.723,0.851,0.531,0.594,0.627,0.3525,0.146,0.8405,0.233,0.0925,0.482,0.057,0.4755,0.4225,0.5245,1,0.6625,0.79,0.668,0.808,0.3855,0.5235,0.4335,0.661,0.6475,0.517,0.294,0.528,1,0.1755,0.5235,0.5325,0.6305,0,0.583,0.5465,0.184,0.3945,0.2005,0.5035,0.536,0.049,0.0895,0.169,0.1845,0.161,0.4385,0.353,0.1625,0.371,0.1725,0.2775,0.1535,0.327,0.34,0.145,0.1755,0.51,0.7485,0.619,0.4595,0.135,0.424,0.0965,0.34,0.5355,0.6705,0.4365,0.6705,0.832,0.5345,0.6,0.5315,0.297,0.742,0.692,0.7685,0.6545,0.705,0.681,0.7685,0.6145,0.331,0.5965,0.418,0.716,0.51,0.531,0.8665,0.6965,0.4365,0.3675,0.066,0.178,0.438,0.397,0.764,0.1575,0.3735,1,1,0.812,1,0.498,0.2115,0.26,0.2055,0.2515,0.155,0.2295,0.4805,0.29,0.547,0.2995,0,0.341,0.2425,0.2085,0.0635,0.321,0.037,0.7,0.1665,0.317,0.6215,0.6085,0.2535,0.5175,0.2105,0.293,0.7925,0.631,0.694,0.8915,0.8745,0.593,0.6175,0.551
8,3,0.0365,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0.082,0,0,0.1425,0,0,0,0.0195,0.055,0,0.0255,0,0,0,0,0,0.1785,0,0.0435,0,0.018,0,0,0,0,0,0,0,0.0565,0,0,0,0,0,0,0,0,0.0205,0,0,0,0,0.107,0.337,0,0.0885,0,0,0,0,0,0,0,0,0,0,0.0945,0,0,0,0,0,0,0,0.022,0.0235,0.0305,0,0,0,0,0,0.0365,0.0255,0,0,0,0.1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515,0,0,0,0,0.035,0,0,0.07,0,0,0.109,0,0,0.0335,0.0415,0.0365,0.0325,0,0,0,0,0,0,0.0315,0.052,0,0,0,0,0,0.025,0,0,0.0315,0.0415,0.019,0,0,0.1295,0,0.0225,0.0885,0.018,0.0225,0,0,0,0,0,0,0.07,0,0.027,0,0.0535,0,0.103,0,0.128,0.2015,0.039,0.0735,0.0425,0.0365,0,0,0,0,0,0.087,0,0,0.018,0.029,0,0,0,0,0,0,0.0295,0,0,0.0885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1935,0,0.131,0,0.03,0,0,0,0,0,0,0,0.0395,0.1085,0,0.357,0.0555,0,0,0,0,0,0.231,0.202,0,0.0445,0.0215,0.067,0,0,0.0935,0.072,0,0,0,0,0.2925,0.026,0.4235,0,0.111,0.052,0,0,0,0,0,0.0545,0,0,0,0,0,0.1045,0.0385,0
8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195,0,0,0,0,0.0615,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0.0185,0.0385,0.0485,0.0445,0,0,0,0.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.065,0.041,0.0655,0.0335,0.026,0.018,0,0.054,0.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.0225,0,0,0,0.0575,0.0195,0.3115,0,0.087,0.055,0,0,0.276,0.1215,0.1535,0,0.019,0,0,0,0,0.02,0,0,0,0,0.054,0,0,0,0.147,0,0.0185,0,0.031,0.0385,0,0,0.0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.0995,0,0,0,0.0215,0,0,0,0,0,0,0,0,0,0,0.0515,0,0,0,0,0,0.1245,0.0195,0,0,0,0,0,0.0335,0.2195,0.038,0,0,0,0,0,0,0,0.078,0.0565,0,0,0.029,0,0,0.091,0.019
8,5,0.027,1,0.0175,0.913,1,0.214,0.0395,0.1795,0,0.4625,0,0.341,0.137,0.2245,0,0,0.837,0.0355,0,0,0,0,0.134,0.0525,0.6795,0.6855,0.14,0.707,0.7135,0.136,0.5295,0,0.5125,0.3585,0.078,0.3735,0.5385,0.638,0.612,0.5905,0.602,0.7615,0.2655,0.444,0.596,0.4935,0.4085,0.947,0.546,0.3585,0.477,0.494,0.6515,0.577,0.5815,0.291,0.3765,0.4955,0.7865,0.8395,0.35,0.161,0.244,0.107,0.081,0.976,0.2675,0.6895,0,0.501,0.188,0.2205,0.5065,0.377,0.0215,0.575,0,0.4395,0.399,0.0245,0.4475,0.54,0.4395,0.3355,0.3645,0.555,0.501,0.644,0.7435,0.627,0.0265,0.318,0.1135,0.3585,0.072,0.316,0.651,0.466,0.9435,0.698,0.865,0.4405,0.3475,0.9315,1,0.7065,0.545,0.795,0.358,1,0.337,0.6065,0.5975,0.576,0.2695,0.224,0.282,0.191,0.504,0.2625,0.244,0.2975,0.326,0.54,0.3265,0.618,0.7715,0.206,0,0.61,0.7035,0.142,0.143,0.0835,0.24,0.0785,0.148,0.1385,0.1155,0.3195,0.388,0.347,0.4425,0.439,0.0205,0.22,0.0225,0.054,0.943,0.0455,0.551,0.2865,0,0.1795,0.1785,0.29,0.092,0.139,0.396,0.4375,0.339,0.167,0.1695,0.5345,0.323,0,0.112,0.402,0.442,0.321,0.144,0.0735,0.1745,0.331,0.419,0.337,0.2195,0.249,0.3705,0.371,0.325,0.376,0.458,0.2755,0.5455,0.8185,0.502,0.7685,0.654,0.825,0.4445,0.66,0.584,0.6295,0.461,0.198,0.221,0.3645,0.865,0.4295,0.866,0.612,0.3885,0.2985,0.411,0.3295,0.168,0.444,0.358,0.43,0.703,0.258,0.308,0.2315,0.3195,0.123,0.319,0.2315,0.3855,0.4755,0.4035,0.3505,0.252,0.4275,0.4045,0.1115,0.3035,0.4775,0.5125,0.934,0.822,0.522,0.4405,0.236,0.4485,0.5175,0,0,0.1665,0,0.484,0.5575,0.538,0.743,0.6505,0.689,0.7035,0.5195,0.71,0.2075,0.488,1,0.659,0.2575,0.583,0.644,0.619,0.32,0.2615,0.6015,0.4815,0.3435,0.3915,0.7465,0.4825,0.5845,0.4205,0.123,0.3455,0.306,0.079,0.1255,0.2575,0.2355,0.43
8,6,0.15,0,0,0,0,0.0995,0,0,0,0,0,0,0.038,0,0.422,0,0,0,0,0.022,1,0,0,0,0.237,0.168,0,0,0,0.1645,0.087,0.201,0,0,0.0735,0.0245,0,0,0,0,0.079,0,0.0455,0,0,0,0,0,0.025,0.077,0,0,0,0,0,0.0175,0,0,0,0,0,0.0855,0.0585,0.0595,0,0,0,0.0315,0.349,0.3245,0,0,0.027,0,0,0,0.0735,0,0,0.243,0,0,0,0.0355,0,0.0835,0,0,0,0,0.191,0,0,0,0.539,0,0,0,0,0,0.1165,0,0,0,0,0,0.0265,0,0,0,0,0,0.032,0.0205,0.019,0.221,0,0.491,0.0995,0,0.0345,0.5145,0,0.059,0.334,0.079,0,0,0.4095,0,0,0.23,0.0515,0,0,0,0,0.0415,0,0.124,0,0,0.151,0.0315,0.089,0.495,0.8855,0.463,0,0.479,0.0265,0.1635,0,0.158,0,0,0.081,0.4755,0.081,0,0,0.163,0.225,0.154,0.1275,0,0.7125,0.0745,0,0.0255,0.526,0.2735,0.279,0.3125,0.1675,0.0975,0.2775,0.025,0.299,0.4115,0.236,0.124,0.1855,0.0895,0.065,0,0.127,0.059,0.0685,0.022,0.122,0,0.271,0.177,0,0,0.1605,0,0,0,0,0,0.0755,0,0.025,0,0,0,0.042,0.0385,0,0,0,0,0.026,0.172,0,0,0,0,0,0.1005,0.0325,0.032,0.0205,0.022,0,0.053,0,0,0,0,0.032,0,0.0365,0.0535,0,0,0,0,0,0,0,0,0.0535,0.1345,0,0,0,0,0.1215,0,0,0.464,0.2085,0,0,0,0,0.1215,0.149,0.035,0,0,0,0.0455,0.154,0.028,0.023,0,0,0,0.0225,0.0175,0
8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0.146,0.0595,0,0.0475,0.238,0,0,0,,0,0.1525,0.1525,,,0.331,0,0.19,0.133,0,0,0,0,0,0,,0,0,0,0.2285,0,0,0,0.0225,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0.106,0.633,0,,,,0,0.0685,0.119,0,,0,0,0,0,0,0,0,0,0,,0,,0,0.084,0,0.0265,0,0.2055,0,0.0785,0.094,0,0.037,0,0,0,0,,,,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0.0405,0,0,0,0,0,0,0.0575,0,0,0.212,0,0,0,0,0.1,0,0,0,0,,,,0,0,0,0,0,0,0.0495,0.184,0.2115,0.087,0.109,0.0635,0,0.1775,0.124,,0,,0,0,0.1325,0,0.1255,0.078,0.2075,0,0.038,0,0,0.0335,0,0,0,,,0,0,0,0.2625,0.0555,0.19,0,0,0,0.1245,0.0365,0,0,0.233,0,0.068,0.046,0.065,0.187,0,0.182,0,0,0,0,0,0,0,0,0.028,0,0.019,0,0.0245,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915,0,0,0,0,0,0,0,0,0,0,0,0.105,,0,,0,,0,0,0,0.4295,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0.383,0.335,0.854,0.9405,0.715,0.6545,0.762,1,0.567,0.257,,0.308,0.602,0.8475,,,0.669,1,0.743,0.867,0,0,0.0865,0.051,0,0,,0.418,0.349,0.046,0.629,0.3135,0.0915,0.124,0.28,0.0865,0,0.115,0,0,0.0875,0.284,0,0,0,,0,0.3015,0.6735,0.0985,0.0785,,0,0,0,0,0,0,0,0.8435,0.367,1,,,,0.2355,0.465,0.7825,0.2145,,0.306,0.262,0.441,0.295,0.126,0.591,0.371,0.111,0.424,,0,,0.247,0.616,0.375,0.5125,0.1205,0.764,0.3925,0.7225,0.5735,0.615,0.6615,0.7835,0.2035,0.5085,0.271,,,,0,0,0,0,0.1,0.6225,0,0,0,0,0,0.8495,0.4275,0.585,0.373,0,0.5145,0,0.427,0.364,0.5155,0,0.4525,0.788,0.199,0,0.316,0.486,0.9,0.1755,0.661,0.3885,0.315,,,,0.1075,0.257,0.1255,0.4865,0.0625,0.285,0.382,0.816,0.7885,0.913,0.891,0.9365,0.9425,0.7955,0.652,,0.744,,0.436,0.4425,0.723,0.431,0.5285,0.5265,0.6315,0.311,0.605,0.434,0.247,0.846,0.159,0.286,0.506,,,1,0.4335,0.319,0.3855,0.1375,0.0685,0.0235,0.268,0.087,0.232,0.1915,0.147,0.034,0.4315,0.0865,0.081,0.172,0.326,0.143,0.231,0.243,0.264,0.142,0.1145,0.05,0,0,0.55,0.065,0.118,0.589,0.0675,0.5745,0.033,0,0,0,0,0.144,0,0.052,0.1195,0.1525,,,0,0,0.077,0.018,0.021,0.0695,0.2715,0.1345,0.1035,0.201,0.4265,0.0205,0.18,0.359,0.178,0.242,0.1895,0.3125,0.344,0.4815,0.768,0.1385,0.49,0,0,0.298,0,0.1595,0.1425,0.138,0.0195,0.293,0,0.067,0.386,0,0,,0,,0.1005,,0.4565,0.508,0,0.35,0.137,0,0.095,0.1845,0.0355,0.3135,0.0915,0.2155,0,0.3665,0.2005,0.044
9,3,1,0.617,0.665,0,0,0.285,0.298,0,0,0.433,0.743,,0.692,0.2455,0,,,0,0,0.067,0,1,1,0.9135,0.949,1,1,,0.582,0.651,0.954,0.1425,0.6865,0.9085,0.876,0.698,0.9135,1,0.885,1,1,0.9125,0.716,1,1,1,,1,0.6985,0.3265,0.9015,0.9215,,1,1,1,1,1,1,1,0.05,0,0,,,,0.7645,0.4665,0.0985,0.7855,,0.694,0.738,0.559,0.705,0.874,0.409,0.629,0.889,0.576,,1,,0.753,0.3,0.625,0.461,0.8795,0.031,0.6075,0.1995,0.3325,0.385,0.3015,0.2165,0.7965,0.4915,0.729,,,,1,1,1,1,0.9,0.3445,1,1,1,1,1,0.1505,0.5725,0.3745,0.627,1,0.4855,1,0.573,0.636,0.4275,1,0.5475,0,0.801,1,0.684,0.514,0,0.8245,0.339,0.6115,0.685,,,,0.8925,0.743,0.8745,0.5135,0.9375,0.715,0.5685,0,0,0,0,0,0.0575,0.027,0.224,,0.256,,0.564,0.5575,0.1445,0.569,0.3465,0.396,0.161,0.689,0.3575,0.5665,0.753,0.1205,0.841,0.714,0.494,,,0,0.5665,0.681,0.3525,0.807,0.7415,0.9765,0.732,0.913,0.644,0.772,0.853,0.966,0.335,0.9135,0.851,0.7815,0.609,0.67,0.769,0.5745,0.736,0.858,0.8855,0.95,1,1,0.45,0.935,0.854,0.411,0.914,0.4255,0.9425,1,1,1,1,0.856,1,0.948,0.8805,0.8475,,,1,1,0.923,0.982,0.979,0.9305,0.7285,0.8655,0.8965,0.799,0.5735,0.9795,0.82,0.641,0.822,0.758,0.8105,0.6875,0.656,0.5185,0.232,0.8615,0.51,1,0.9085,0.702,1,0.8405,0.8575,0.862,0.9805,0.707,1,0.933,0.614,1,0.895,,1,,0.8995,,0.5435,0.492,1,0.2205,0.863,1,0.905,0.8155,0.9645,0.6865,0.9085,0.7845,1,0.6335,0.7995,0.956
10,1,0,0,0,0,0,0,0,0,0.0205,0,0,0,0.027,0.0285,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0.0235
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,,,0,0,0,0,0,0,0,0,0,0,0.0215,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0,0,0,0,0,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.045,0,0,0,0,0,0,0,0.0485,0,0,0,0,0,0,0,0.0355,0,0.0295,0,0,0,0,0,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0.192,0.0285,0.131,0.037,0,0,0,0,0,0,0,0.0335,0.1,0,0,0,0,0,0,0,0,0.1415,0.1515,0.1545,0.1435,0,0.027,0,0.059,0.255,0.2485,0,0,0,0.338,0.663,0,0,0.168,0.2205,0.067,0,0.069,0,0.0255,0,0,0.0685,0.0345,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.039,0.1995,0.2415,0.0285,0.0615
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.078,0,0.0185,0.02,0,0.0285,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.0365,0,0,0,0.0635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.04,0,0.099,0.063,0.059,0,0.078,0,0,0.025,0.0725,0,0,0,0.0295,0,0,0,0,0.057,0.059,0,0,0,0,0,0,0,0,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,0,0.1075,0,0.41,1,0,0,0,0,0.067,0.025,0,0,0,0,,,0,0,0,0.0185,0.1,0,0,0.0375,0,0,0,0.0245,0,0.1865,0,0.019,0,0,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2315,0.108,0,0,0,0.372,0.15,0.111,0.0785,0.0695,0,0,0,0,0,0.0515,0.0235,0,0,0,0,0,0,0.019,0,0,0.019,0.1505,0,0,0,0.22,0.0595,0.0395,0.0295,0,0.033,0,0,0,0,0,0,0.1005,0.1665,0.078,0.0495,0.1255,0.299,0,0,0,0,0.181,0,0,0,0,0,0,0.0215,0.047,0,0,0.0395,0.0315,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0.3,0.1775,0.1225,0.2815,0,0.051,0,0,0.02,0.0505,0.096,0.0415,0.181,0,0.3395,0,0,0,0,0.042,0.0745,0.08,0.08,0,0,0.0455,0,0,0,0.309,0.4725,0.0885,0.0215,0.099,0.0485,0.657,0.4295,0.343,0.3675,0.0285,0.0205,0,0,0.023,0,0.1045,0.0245,0.0835,0.22,0.1255,0.3125,0.4185,0.65,0.5495,0.1855,0.1965,0.132,0.114,0.118,0,0,0,0,0,0.2735,0.19,0.4785,0.101,0.1765,0.084,0.0995,0.1585,0,0.1975,0.343,0.24,0.205,0.03,0.049,0,0.0445,0,0,0.169,0.022,0.0805,0,0,0.2275,0.089,0.0955,0,0.0185,0,0.4815,0.394,0.5645,0.157,0.569,0.428,0.4935,0.703,0.023,0.251,0.1885,0.42,0.558,0.2635,0.226,0.3175,0.7455,0.3155,0.27,0.472,0.687,0.303,0.346,0,0.107,1,0.378,0.257,0.241,0.241,0.2495,0.655,0.1225,0.019,0.0525,0,0.063,0.045,0.22,0.113,0.1345,0.14,0.1775,0.046,0.217,0.173,0.3715,0.249,0.226,0.4235,0.2575,0.4385
